Months,Sum of Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,"$94,924.84",,,,,,,,,,Catrgory,Sum of Sales,,,,,Top 10 Sub-Categories by Sales,Sum of Sales,,,,Row Labels,Sum of Sales,,,,,,,Row Labels,Sum of Profit
Feb,"$59,751.25",,,,,,,,,,Furniture,"$741,999.80",,,,,Phones,"$330,007.05",,,,Central,"$501,239.89",,,,,,,Furniture,"$18,451.27"
Mar,"$205,005.49",,,,,,,,,,Office Supplies,"$719,047.03",,,,,Chairs,"$328,449.10",,,,East,"$678,781.24",,,,,,,Office Supplies,"$122,490.80"
Apr,"$137,762.13",,,,,,,,,,Technology,"$836,154.03",,,,,Storage,"$223,843.61",,,,South,"$391,721.91",,,,,,,Technology,"$145,454.95"
May,"$155,028.81",,,,,,,,,,Grand Total,"$2,297,200.86",,,,,Tables,"$206,965.53",,,,West,"$725,457.82",,,,,,,Grand Total,"$286,397.02"
Jun,"$152,718.68",,,,,,,,,,,,,,,,Binders,"$203,412.73",,,,Grand Total,"$2,297,200.86",,,,,,,,
Jul,"$147,238.10",,,,,,,,,,,,,,,,Machines,"$189,238.63",,,,,,,,,,,,,
Aug,"$159,044.06",,,,,,,,,,,,,,,,Accessories,"$167,380.32",,,,,,,,,,,,,
Sep,"$307,649.95",,,,,,,,,,,,,,,,Copiers,"$149,528.03",,,,,,,,,,,,,
Oct,"$200,322.98",,,,,,,,,,,,,,,,Bookcases,"$114,880.00",,,,,,,,,,,,,
Nov,"$352,461.07",,,,,,,,,,,,,,,,Appliances,"$107,532.16",,,,,,,,,,,,,
Dec,"$325,293.50",,,,,,,,,,,,,,,,Grand Total,"$2,021,237.17",,,,,,,,,,,,,
Grand Total,"$2,297,200.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
